song,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
Walking On Sunshine,Katrina & The Waves,0.596,0.869,-11.97,0.037,0.0116,0.173,0.0678,0.944,109.902,05wIrZSwuaVWhcv5FfqeH0,238733
Should I Stay or Should I Go - Remastered,The Clash,0.743,0.836,-6.465,0.116,0.0804,0.0,0.384,0.82,113.375,39shmbIHICJ2Wxnk1fPSdz,188987
Never Gonna Give You Up,Rick Astley,0.721,0.939,-11.823,0.0376,0.115,3.79e-05,0.108,0.914,113.309,4cOdK2wGLETKBW3PvgPWqT,213573
Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,0.625,0.533,-11.903,0.0596,0.659,0.00266,0.0546,0.139,108.296,29d0nY7TzCoi22XBqDQkiP,300840
Uptown Girl,Billy Joel,0.701,0.944,-2.986,0.0455,0.0755,0.0,0.601,0.792,128.993,5zA8vzDGqPl2AzZkEYQGKh,197707
With Or Without You - Remastered,U2,0.54,0.429,-11.822,0.0285,0.000202,0.355,0.141,0.113,110.171,6ADSaE87h8Y3lccZlBJdXH,295516
Tainted Love,Soft Cell,0.5,0.501,-8.284,0.0376,0.462,0.0,0.26,0.623,144.438,0cGG2EouYCEEC3xfa0tDFV,153800
Beat It,Michael Jackson,0.776,0.867,-3.704,0.0479,0.0495,7.92e-06,0.197,0.918,138.827,1OOtq8tRnDM8kG2gqUPjAj,258040
Could You Be Loved,Bob Marley & The Wailers,0.916,0.72,-8.548,0.1,0.36,0.00016,0.0958,0.76,103.312,5O4erNlJ74PIF6kGol1ZrC,237000
There Is a Light That Never Goes Out - 2017 Master,The Smiths,0.513,0.77,-5.131,0.0277,0.031,0.0,0.198,0.849,136.22,3mkS1alZdcdBQuIMad8aee,242667
I Want to Know What Love Is - 1999 Remaster,Foreigner,0.477,0.471,-10.036,0.0277,0.193,1.76e-06,0.131,0.423,81.204,1JLn8RhQzHz3qDqsChcmBl,304787
Kickstart My Heart,Mötley Crüe,0.465,0.977,-3.839,0.175,0.00111,0.00298,0.201,0.233,89.535,6imjJij6aCM0IbbODUzJQn,284027
Dancing In the Dark,Bruce Springsteen,0.527,0.942,-5.64,0.0366,0.0115,0.0,0.188,0.495,148.723,7FwBtcecmlpc1sLySPXeGE,241307
Jump,Van Halen,0.542,0.822,-7.201,0.0291,0.0745,0.00947,0.0645,0.772,130.011,6Fba9RZtC6vTY814JToDtP,239560
Fast Car,Tracy Chapman,0.711,0.292,-15.523,0.037,0.313,0.0,0.131,0.194,103.951,2M9ro2krNb7nr7HSprkEgo,296800
You Make My Dreams (Come True),Daryl Hall & John Oates,0.751,0.501,-12.151,0.0551,0.234,0.112,0.0467,0.902,167.057,4o6BgsqLIBViaGVbx5rbRk,190627
Maniac,Michael Sembello,0.617,0.533,-11.516,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,0QKfiqpEU4h9ycPSzIFwYe,244707
Heaven,Bryan Adams,0.382,0.589,-7.315,0.0267,0.0465,0.0,0.122,0.335,140.059,7Ewz6bJ97vUqk5HdkvguFQ,243360
I Still Haven't Found What I'm Looking For,U2,0.564,0.774,-9.424,0.0368,0.0135,0.00191,0.0861,0.657,100.894,6wpGqhRvJGNNXwWlPmkMyO,277477
9 to 5,Dolly Parton,0.554,0.783,-5.852,0.0457,0.416,1.54e-06,0.631,0.813,105.39,4w3tQBXhn5345eUXDGBWZG,162467
The Final Countdown,Europe,0.529,0.843,-6.908,0.0616,0.0628,0.000827,0.0608,0.188,117.662,3MrRksHupTVEQ7YbA0FsZK,310333
Total Eclipse of the Heart,Bonnie Tyler,0.431,0.723,-5.887,0.0568,0.145,0.0,0.374,0.19,130.141,7wuJGgpTNzbUyn26IOY6rj,267360
Nothing's Gonna Stop Us Now,Starship,0.643,0.802,-4.92,0.0227,0.0299,0.0,0.0719,0.53,95.99,3X7uFMzJrEE0sxn62qd8Ch,270333
Eye of the Tiger,Survivor,0.817,0.599,-9.249,0.0328,0.132,0.000311,0.0873,0.548,108.873,2KH16WveTQWT6KOG9Rg6e2,245640
Bette Davis Eyes,Kim Carnes,0.675,0.649,-10.271,0.0319,0.0204,0.0,0.0959,0.596,116.624,0odIT9B9BvOCnXfS0e4lB5,228000
Start Me Up,The Rolling Stones,0.632,0.918,-4.717,0.037,0.0434,0.112,0.0812,0.971,122.412,7CYSvrgGAee411gyGZ29PA,213007
Free Fallin',Tom Petty,0.623,0.449,-13.333,0.0253,0.212,0.0,0.0613,0.572,84.383,5tVA6TkbaAH9QMITTQRrNv,256000
(I Just) Died In Your Arms,Cutting Crew,0.625,0.726,-11.402,0.0444,0.0158,0.000169,0.0625,0.507,124.945,4ByEFOBuLXpCqvO1kw8Wdm,280400
Let's Groove,"Earth, Wind & Fire",0.869,0.648,-8.698,0.0633,0.121,2.17e-05,0.126,0.9,125.035,3koCCeSaVUyrRo3N2gHrd8,339320
You Can't Hurry Love - 2016 Remaster,Phil Collins,0.62,0.936,-4.593,0.0308,0.0261,0.0,0.0679,0.763,97.527,4YwbSZaYeYja8Umyt222Qf,175747
I Love Rock 'N Roll,Joan Jett & the Blackhearts,0.535,0.716,-5.025,0.0431,0.326,0.0,0.659,0.901,94.379,2Cdvbe2G4hZsnhNMKyGrie,175173
Don't You Want Me,The Human League,0.731,0.738,-8.125,0.0377,0.184,0.0,0.214,0.958,117.656,3L7RtEcu1Hw3OXrpnthngx,236920
Rock with You - Single Version,Michael Jackson,0.808,0.535,-12.521,0.0353,0.179,9.91e-05,0.158,0.848,114.031,7oOOI85fVQvVnK5ynNMdW7,220627
Sweet Child O' Mine,Guns N' Roses,0.446,0.952,-5.321,0.0523,0.0901,0.0857,0.112,0.624,125.303,7snQQk1zcKl8gZ92AnueZW,356067
The Boys Of Summer,Don Henley,0.516,0.549,-13.741,0.0373,0.501,0.00572,0.184,0.907,176.941,4gvea7UlDkAvsJBPZAd4oB,288733
The Lady In Red,Chris de Burgh,0.548,0.294,-17.112,0.0333,0.332,3.34e-06,0.0392,0.491,76.698,1GeNWyZtCHbcp3ZWp8GTOO,256173
Right Here Waiting,Richard Marx,0.395,0.252,-13.589,0.0301,0.8,0.0,0.101,0.126,177.679,4LFwNJWoj74Yd71fIr1W8x,264333
In The Air Tonight - 2015 Remastered,Phil Collins,0.446,0.239,-13.945,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,18AXbzPzBS8Y3AkgSxzJPb,336453
We Built This City,Starship,0.661,0.908,-4.897,0.039,0.052,0.0,0.0708,0.656,144.091,6OnfBiiSc9RGKiBKKtZXgQ,296080
Don't You (Forget About Me),Simple Minds,0.66,0.816,-6.61,0.0299,0.168,0.0181,0.0608,0.678,111.346,3fH4KjXFYMmljxrcGrbPj9,263040
"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins,0.544,0.897,-6.056,0.0471,0.241,0.0,0.13,0.647,157.17,34x6hEJgGAOQvmlMql5Ige,215133
You Can Call Me Al,Paul Simon,0.776,0.763,-8.124,0.0534,0.182,0.00647,0.077,0.82,128.433,0qxYx4F3vm1AOnfux6dDxP,280000
Smooth Criminal - 2012 Remaster,Michael Jackson,0.853,0.981,-3.947,0.0751,0.247,0.468,0.306,0.595,118.193,2bCQHF9gdG5BNDVuEIEnNk,257760
Material Girl,Madonna,0.742,0.883,-3.419,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,22sLuJYcvZOSoLLRYev1s5,240280
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,0.58,0.498,-6.901,0.0277,0.198,0.0,0.132,0.111,116.271,63CHa6rmamv9OsehkRD8oz,206360
I Just Called To Say I Love You,Stevie Wonder,0.748,0.551,-9.054,0.0239,0.243,1.57e-06,0.0943,0.65,113.535,6RNDeRnWsRMjPdNVgupZCs,262240
I'm On Fire,Bruce Springsteen,0.62,0.446,-14.451,0.0347,0.589,0.0299,0.0727,0.868,88.591,3PzsbWSQdLCKDLxn7YZfkM,155880
Wanted Dead Or Alive,Bon Jovi,0.252,0.802,-3.976,0.0391,0.13,0.0146,0.309,0.253,150.056,0oerlffJSzhRVvtDfLcp3N,308667
The Winner Takes It All,ABBA,0.454,0.788,-6.748,0.0371,0.574,0.000766,0.0859,0.52,126.15,3oEkrIfXfSh9zGnE7eBzSV,294720
Maneater,Daryl Hall & John Oates,0.724,0.498,-13.083,0.0423,0.0405,8.56e-05,0.0761,0.823,88.825,7j74lucZ59vqN67Ipe2ZcY,273173
The Power Of Love,Huey Lewis & The News,0.768,0.829,-5.109,0.0313,0.0964,2.92e-05,0.097,0.962,118.773,2olVm1lHicpveMAo4AUDRB,234333
Panama,Van Halen,0.514,0.987,-5.391,0.109,0.00135,0.000193,0.0697,0.298,141.257,42Lq6GBO5KUSNeSgJsOoke,212640
Flashdance...What a Feeling - Radio Edit,Irene Cara,0.572,0.654,-7.027,0.0344,0.0058,3.21e-06,0.09,0.399,122.491,3cbV252akVZInSvJk7jAYX,237053
Don't Stop 'Til You Get Enough,Michael Jackson,0.878,0.821,-9.875,0.089,0.126,0.0461,0.183,0.947,118.881,46eu3SBuFCXWsPT39Yg3tJ,365467
We Didn't Start the Fire,Billy Joel,0.712,0.967,-5.206,0.047,0.0771,0.0,0.356,0.895,145.024,3Cx4yrFaX8CeHwBMReOWXI,287733
Purple Rain - 2015 Paisley Park Remaster,Prince,0.288,0.57,-6.032,0.0322,0.0169,0.00444,0.706,0.167,113.538,1vfvy1Of0iJLDjh5eMfVyI,524653
Lay All Your Love On Me,ABBA,0.678,0.727,-7.844,0.0258,0.117,0.00396,0.354,0.71,133.481,4euAGZTszWPrriggYK0HG9,274467
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,0.712,0.549,-9.484,0.0254,0.011,0.0,0.118,0.552,109.882,31H6au3jhblhr6MMJiXnCq,251067
Alone,Heart,0.418,0.452,-13.099,0.0356,0.638,0.00026,0.0959,0.168,175.088,54b8qPFqYqIndfdxiLApea,218733
Baby Can I Hold You,Tracy Chapman,0.692,0.422,-10.533,0.0333,0.0811,0.0,0.0848,0.468,74.375,2DjWsDGgL1xNbhnr7f6t5F,193120
Another Day in Paradise - 2016 Remaster,Phil Collins,0.78,0.565,-7.32,0.0306,0.736,0.00269,0.063,0.365,101.967,1NCuYqMc8hKMb4cpNTcJbD,322133
La Isla Bonita,Madonna,0.724,0.822,-4.374,0.0333,0.304,1.38e-05,0.0553,0.964,99.9,4t4VUoqZId5pR3UECyQ2Ax,242733
Don't Dream It's Over,Crowded House,0.439,0.422,-17.227,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833,7G7tgVYORlDuVprcYHuFJh,236933
Every Little Thing She Does Is Magic,The Police,0.558,0.768,-9.997,0.0343,0.121,0.0626,0.124,0.429,81.909,44aTAUBF0g6sMkMNE8I5kd,260573
I Won't Back Down,Tom Petty,0.765,0.476,-13.487,0.0329,0.0504,2.76e-06,0.165,0.965,114.02,7gSQv1OHpkIoAdUiRLdmI6,178360
You Spin Me Round (Like a Record),Dead Or Alive,0.554,0.963,-3.762,0.035,0.000244,0.0702,0.431,0.918,128.175,1ChulFMnwxoD74Me8eX2TU,195147
Sharp Dressed Man - 2008 Remaster,ZZ Top,0.601,0.859,-5.263,0.0276,0.000359,0.00124,0.0871,0.446,125.145,1UBQ5GK8JaQjm5VbkBZY66,258027
Welcome To The Jungle,Guns N' Roses,0.453,0.987,-4.485,0.0889,0.0195,0.283,0.268,0.316,123.544,0G21yYKMZoHa30cYVi1iA8,273480
Master Of Puppets,Metallica,0.543,0.836,-9.11,0.0353,0.000647,0.431,0.153,0.56,105.173,2MuWTIM3b0YEAskbeeFE1i,515387
"Take My Breath Away - Love Theme from ""Top Gun""",Berlin,0.497,0.719,-9.397,0.0266,0.0613,0.0,0.411,0.547,95.769,15MJ5NThPjj6xhPcts8MiY,255733
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,0.616,0.685,-15.289,0.04,0.0245,1.13e-05,0.0491,0.895,150.055,5Hyr47BBGpvOfcykSCcaw9,348333
Born in the U.S.A.,Bruce Springsteen,0.398,0.952,-6.042,0.061,0.000373,7.75e-05,0.1,0.584,122.093,0dOg1ySSI7NkpAe89Zo0b9,278680
Smalltown Boy,Bronski Beat,0.685,0.584,-10.616,0.0276,0.288,0.00918,0.124,0.939,134.546,5vmRQ3zELMLUQPo2FLQ76x,302413
99 Luftballons,Nena,0.575,0.555,-7.495,0.0453,0.103,1.3e-06,0.111,0.504,95.361,4ZhPLoMzZwewHLLjV1J15c,232467
Sacrifice,Elton John,0.756,0.534,-9.056,0.0256,0.227,0.00168,0.0603,0.387,111.316,2FEJakApJ34PB5CXRYLspv,308200
She Drives Me Crazy,Fine Young Cannibals,0.799,0.687,-5.682,0.0431,0.193,0.000188,0.0307,0.965,108.804,4d6eqRtpDX7tydHJGDZUBQ,215773
Kiss,Prince,0.898,0.271,-12.238,0.091,0.0135,0.00138,0.0461,0.742,111.485,5ac5HSB4ounbHPaIOm5wlx,226240
We're Not Gonna Take It,Twisted Sister,0.502,0.924,-6.299,0.0503,0.0127,0.0,0.162,0.922,149.186,1cVLvRzZZePtBZ5o0SqmrA,219667
Red Red Wine,UB40,0.857,0.468,-8.53,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,4uOKFydzAejjSFqYbv1XPt,183733
Down Under,Men At Work,0.739,0.459,-14.42,0.0294,0.129,0.0194,0.0474,0.892,107.115,3ZZq9396zv8pcn5GYVhxUi,222320
Walk This Way,Aerosmith,0.653,0.73,-10.613,0.0429,0.0115,1.02e-05,0.0776,0.894,108.709,4JfuiOWlWCkjP6OKurHjSn,220311
Self Control,Laura Branigan,0.814,0.686,-12.172,0.0342,0.219,0.00382,0.155,0.778,106.679,6JNJERZGJwDVgkmbohBw7u,246440
Poison,Alice Cooper,0.28,0.908,-5.509,0.109,0.0327,8.85e-06,0.18,0.26,118.698,5XcZRgJv3zMhTqCyESjQrF,270080
Rock You Like a Hurricane - 2015 - Remaster,Scorpions,0.402,0.873,-3.209,0.0586,0.00484,7.3e-05,0.157,0.684,125.443,2fICdpdRotwfmGYzvs8Ngf,253667
Funkytown - Single Version,Lipps Inc.,0.907,0.564,-9.29,0.0568,0.000928,0.65,0.108,0.229,122.632,0B5kY9i9bmP7554oU4jRoO,245413
You're the Inspiration - 2006 Remaster,Chicago,0.583,0.602,-6.364,0.0274,0.368,0.0,0.22,0.388,74.008,36lkJSDyMEZoWTqtRj8Q8q,229240
Little Lies - 2017 Remaster,Fleetwood Mac,0.64,0.649,-10.345,0.0264,0.216,8.3e-05,0.0551,0.865,124.825,4CoSCPlKNrWli7E5kFtbcl,221053
Break My Stride,Matthew Wilder,0.917,0.588,-11.047,0.0607,0.195,0.0,0.0914,0.828,110.077,1mCsF9Tw4AkIZOjvZbZZdT,184480
Any Way You Want It,Journey,0.529,0.932,-7.501,0.0488,0.00251,0.00109,0.136,0.571,138.158,71SvEDmsOwIWw1IozsZoMA,201693
Cheri Cheri Lady,Modern Talking,0.677,0.616,-13.826,0.032,0.458,0.0132,0.349,0.851,114.223,2aEuA8PSqLa17Y4hKPj5rr,226333
Can't Fight This Feeling,REO Speedwagon,0.408,0.48,-11.017,0.0266,0.155,1.82e-05,0.0877,0.19,156.344,5WwqdeavrQrbeAMDxGawse,294773
Listen To Your Heart,Roxette,0.539,0.583,-4.935,0.0275,0.108,0.0,0.111,0.337,86.063,5JvsxPAHsGxwNq4xto2HtM,328093
Got My Mind Set On You - Remastered 2004,George Harrison,0.767,0.854,-6.947,0.0426,0.465,2.03e-06,0.485,0.963,149.206,3OeUlriM0EZHdWleJtjoVr,234653
Jack & Diane,John Mellencamp,0.816,0.407,-8.276,0.0421,0.0348,5.49e-06,0.0527,0.567,103.962,4jAdCvljed7Ih246KWUjRU,256093
Gypsy,Fleetwood Mac,0.622,0.54,-13.99,0.0261,0.017,0.00771,0.265,0.847,130.879,19Ym5Sg0YyOCa6ao21bdoG,264907
I Wanna Rock,Twisted Sister,0.504,0.911,-2.97,0.0738,0.00512,0.0123,0.355,0.671,106.244,7hTDjllX5ZqW7XVL4taGtT,179760
Glory of Love,Peter Cetera,0.52,0.61,-7.935,0.0282,0.0805,2.95e-06,0.276,0.329,144.983,1eyq8cjUQ2daFthW2PC2GM,258333
Keep on Loving You,REO Speedwagon,0.306,0.722,-5.963,0.034,0.0519,0.0,0.117,0.41,174.732,4rcHWl68ai6KvpXlc8vbnE,200293
Another One Bites The Dust - Remastered 2011,Queen,0.933,0.528,-6.472,0.161,0.112,0.312,0.163,0.754,109.967,5vdp5UmvTsnMEMESIF2Ym7,214653
London Calling - Remastered,The Clash,0.651,0.801,-7.34,0.0514,0.123,0.0,0.0825,0.776,133.769,5jzma6gCzYtKB1DbEwFZKH,200480
Hungry Like the Wolf,Duran Duran,0.664,0.888,-5.161,0.067,0.0252,0.0,0.216,0.605,127.369,5pIaAkHJ928V2LGCz79FgQ,209547
Runaway,Bon Jovi,0.482,0.904,-4.815,0.0655,0.014,6.02e-06,0.0937,0.555,152.268,65RcvcnNgiCOQ0MBD16Up0,232933
I'm So Excited,The Pointer Sisters,0.59,0.868,-5.832,0.048,0.0962,0.000322,0.442,0.798,184.348,1ot6jEe4w4hYnsOPjd3xKQ,230640
Forever Young,Alphaville,0.489,0.483,-9.466,0.0275,0.42,0.0028,0.236,0.333,136.822,4S1VYqwfkLit9mKVY3MXoo,226706
Rock the Casbah - Remastered,The Clash,0.797,0.872,-6.727,0.0575,0.291,0.0,0.284,0.866,129.885,56KqaFSGTb7ifpt16t5Y1N,222427
Rosanna,TOTO,0.365,0.513,-13.034,0.0357,0.0208,0.000147,0.205,0.739,80.647,37BTh5g05cxBIRYMbw8g2T,331200
End Of The Line,Traveling Wilburys,0.578,0.836,-6.607,0.0512,0.163,1.36e-06,0.0583,0.932,167.026,4HA2jo7wkMdN1lmLO6ryzE,209520
Paradise City,Guns N' Roses,0.268,0.98,-5.958,0.103,0.0192,0.00709,0.182,0.395,100.315,6eN1f9KNmiWEhpE2RhQqB5,405600
Centerfold,The J. Geils Band,0.653,0.677,-12.244,0.0396,0.249,0.0,0.403,0.888,114.37,1ynmMEK1fkyiZ6Z6F3ThEt,216533
Like a Virgin,Madonna,0.771,0.655,-10.842,0.0372,0.152,0.00197,0.0685,0.97,119.747,1ZPlNanZsJSPK5h9YZZFbZ,218627
Beds Are Burning - Remastered,Midnight Oil,0.753,0.427,-11.112,0.0387,0.00787,0.00065,0.058,0.295,119.18,1CtAzw53AIXKjAemxy4b1j,255680
Sunday Bloody Sunday - Remastered 2008,U2,0.543,0.944,-7.495,0.0543,0.402,0.000564,0.0373,0.735,101.174,6C4LXC9UFH1IKiHYOp0BiJ,279440
Englishman In New York,Sting,0.674,0.347,-17.707,0.0364,0.396,1.05e-05,0.0916,0.647,102.013,4KFM3A5QF2IMcc6nHsu3Wp,267267
Celebration,Kool & The Gang,0.885,0.664,-11.795,0.0524,0.145,0.0483,0.0767,0.906,121.632,3K7Q9PHUWPTaknlbFPThn2,298867
Hurts So Good,John Mellencamp,0.788,0.75,-5.303,0.0371,0.0377,7.15e-05,0.0976,0.971,125.44,3DLf7kcMcn8ZBCutwWEm7k,219360
Don't Stop Believin',Journey,0.491,0.802,-7.106,0.0392,0.25,0.0,0.387,0.472,119.25,77NNZQSqzLNqh2A9JhLRkg,248907
Never Too Much,Luther Vandross,0.734,0.586,-11.866,0.129,0.125,0.0,0.0367,0.762,109.933,3nFJbZCHP4d9vduKjJLdBL,230467
Super Trouper,ABBA,0.764,0.626,-8.274,0.0288,0.457,6.35e-06,0.201,0.961,118.34,0J2p4KYdr6Mg4ET6JPlbe1,252853
Smooth Operator - Single Version,Sade,0.734,0.58,-6.619,0.0321,0.238,0.0006,0.0298,0.962,119.336,1Hv1VTm8zeOeybub15mA2R,258693
Kokomo,The Beach Boys,0.682,0.635,-10.05,0.0346,0.00863,0.0,0.137,0.927,115.584,5qHYXcVvc9xsFB2uH7GpMN,217693
Relax,Frankie Goes To Hollywood,0.676,0.695,-13.395,0.0392,0.326,1.09e-05,0.0462,0.691,114.93,2K22nUTdyr48JDwI5t906t,236800
If You Don't Know Me by Now - 2008 Remaster,Simply Red,0.638,0.352,-9.266,0.0268,0.492,0.0,0.105,0.204,94.173,7DFawVSjI88xR9mjnWwURg,204000
Your Love,The Outfield,0.555,0.757,-7.868,0.0601,0.103,1.16e-06,0.0631,0.582,129.607,5dRQUolXAVX3BbCiIxmSsf,221840
Missing You,John Waite,0.552,0.552,-9.736,0.0364,0.052,0.0,0.046,0.593,208.571,1Qrdlkgg9I4J7r3P4kZNwr,269760
Brother Louie,Modern Talking,0.783,0.836,-9.223,0.0486,0.396,0.0236,0.135,0.831,108.966,5zWZ9iNevP0397xB3jWV2z,222667
Gimme All Your Lovin',ZZ Top,0.63,0.788,-6.7,0.0298,0.00322,0.0237,0.0883,0.63,120.059,0OBwxFLu6Yj61s2OagYbgY,241080
Tarzan Boy,Baltimora,0.684,0.573,-12.3,0.0261,0.318,0.028,0.306,0.716,107.363,273uCXd7NPrInaiNqtkOrA,378947
How Will I Know,Whitney Houston,0.832,0.544,-12.697,0.0442,0.201,0.000139,0.632,0.928,119.49,5tdKaKLnC4SgtDZ6RlWeal,275533
Sexual Healing,Marvin Gaye,0.805,0.602,-9.7,0.0579,0.119,0.000122,0.0581,0.744,94.382,3VZmChrnVW8JK6ano4gSED,238600
Black Velvet,Alannah Myles,0.754,0.366,-10.07,0.0312,0.273,9.04e-05,0.106,0.469,91.147,1KU5EHSz04JhGg3rReGJ0N,287440
Jessie's Girl,Rick Springfield,0.717,0.588,-13.953,0.0535,0.331,0.0,0.102,0.852,131.537,2F1fnE1a8zQCogM6jJifHH,194267
If I Could Turn Back Time,Cher,0.658,0.575,-10.365,0.0267,0.243,0.0,0.122,0.504,108.329,6mYrhCAGWzTdF8QnKuchXM,239827
Killing Me Softly With His Song,Roberta Flack,0.476,0.381,-10.238,0.0342,0.727,0.0,0.0614,0.33,121.948,6nYoTWyXyQvX8YA1KTgPBF,286920
Wild World,Yusuf / Cat Stevens,0.48,0.542,-8.51,0.0348,0.345,0.000609,0.113,0.567,152.853,7mjSHL2Eb0kAwiKbvNNyD9,200560
Easy,Commodores,0.589,0.384,-15.075,0.0332,0.112,2.8e-05,0.0596,0.354,132.909,1JQ6Xm1JrvHfvAqhl5pwaA,256427
Hotel California - 2013 Remaster,Eagles,0.579,0.508,-9.484,0.027,0.00574,0.000494,0.0575,0.609,147.125,21DMNxn3lLWYqaTm3MeGAn,391376
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,0.601,0.532,-9.119,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,3gdewACMIVMEWVbyb8O9sY,281613
How Deep Is Your Love,Bee Gees,0.633,0.357,-9.366,0.0264,0.105,0.0,0.133,0.674,104.938,2JoZzpdeP2G6Csfdq5aLXP,245200
Summer Nights - From “Grease”,John Travolta,0.747,0.663,-9.415,0.0545,0.62,5.24e-05,0.0861,0.606,124.336,2AVkArcfALVk2X8sfPRzya,216907
Dancing Queen,ABBA,0.543,0.87,-6.514,0.0428,0.358,0.000939,0.792,0.754,100.804,0GjEhVFGZW8afUYGChu3Rr,230400
Wonderful Tonight,Eric Clapton,0.563,0.137,-20.112,0.0298,0.681,0.175,0.149,0.468,95.494,1W6eWbydmdSlz7n4RKz3bZ,221973
Heroes - 2017 Remaster,David Bowie,0.489,0.758,-6.491,0.0297,0.000678,0.49,0.092,0.435,112.113,7Jh1bpe76CNTCgdgAdBw4Z,371413
Dream On,Aerosmith,0.392,0.476,-7.583,0.0249,0.397,0.000163,0.309,0.234,78.031,1xsYj84j7hUDDnTTerGWlH,267597
Have You Ever Seen The Rain,Creedence Clearwater Revival,0.741,0.697,-7.028,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,2LawezPeJhN4AWuSB0GtAU,160133
Highway to Hell,AC/DC,0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,2zYzyRzz6pRmhPzyfMEC8s,208400
Dreams - 2004 Remaster,Fleetwood Mac,0.828,0.492,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151,0ofHAoxe9vBkTCp2UQIavz,257800
I Was Made For Lovin' You,KISS,0.768,0.852,-6.215,0.038,0.214,7.36e-05,0.0723,0.867,128.373,07q0QVgO56EorrSGHC48y3,271240
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,0.749,0.491,-9.655,0.0403,0.02,0.00899,0.159,0.536,119.528,3vkQ5DAB1qQMYO4Mr9zJN6,292613
Sweet Home Alabama,Lynyrd Skynyrd,0.596,0.605,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798,7e89621JPkKaeDSTQ3avtg,283800
Your Song,Elton John,0.554,0.315,-11.028,0.0298,0.828,5.53e-06,0.101,0.325,128.157,38zsOOcu31XbbYj9BIPUF1,241787
Ain't No Sunshine,Bill Withers,0.527,0.415,-11.451,0.122,0.457,1.72e-05,0.117,0.515,78.169,1k1Bqnv2R0uJXQN4u6LKYt,125093
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,0.703,0.826,-7.179,0.0341,0.0322,0.00629,0.179,0.945,103.564,3mRM4NM8iO7UBqrSigCQFH,285373
Mr. Blue Sky,Electric Light Orchestra,0.388,0.338,-10.054,0.0329,0.652,3.73e-06,0.248,0.478,177.765,2RlgNHKcydI9sayD2Df2xp,303373
The Chain - 2004 Remaster,Fleetwood Mac,0.545,0.67,-8.81,0.0496,0.009,0.000822,0.0451,0.481,151.553,5e9TFTbltYBg2xThimr0rU,270213
Stairway to Heaven - Remaster,Led Zeppelin,0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,5CQ30WqJwcep0pYcV4AMNc,482830
Roxanne,The Police,0.618,0.748,-8.905,0.358,0.0384,4.1e-06,0.0473,0.663,134.114,3EYOJ48Et32uATr9ZmLnAo,191947
Dust in the Wind,Kansas,0.475,0.322,-10.687,0.0283,0.367,0.00056,0.11,0.387,93.503,6zeE5tKyr8Nu882DQhhSQI,206267
More Than a Feeling,Boston,0.377,0.681,-8.039,0.0298,0.00088,0.0023,0.0504,0.285,108.789,1QEEqeFIZktqIpPI4jSVSF,285133
Vienna,Billy Joel,0.532,0.495,-6.662,0.0343,0.659,0.0,0.0754,0.308,124.936,4U45aEWtQhrm8A5mxPaFZ7,214240
Don't Go Breaking My Heart,Elton John,0.729,0.844,-8.824,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,7HW5WIw7ZgZORCzUxv5gW5,275440
Stuck In The Middle With You,Stealers Wheel,0.82,0.575,-9.144,0.0408,0.0936,0.000135,0.109,0.964,123.765,3Vby4nGmtbDo7HDJamOWkT,208947
Immigrant Song - Remaster,Led Zeppelin,0.567,0.931,-10.361,0.0544,0.0119,0.159,0.342,0.623,112.948,2uuMXKKmdXrY2XxsqTsGp0,146747
T.N.T.,AC/DC,0.754,0.759,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,7LRMbd3LEoV5wZJvXT1Lwb,214667
Three Little Birds,Bob Marley & The Wailers,0.826,0.49,-10.477,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,75FYqcxt1YEAtqDLrOeIJn,180267
Take It Easy - 2013 Remaster,Eagles,0.575,0.67,-10.39,0.0318,0.343,4.95e-06,0.129,0.74,139.191,2X3XnBaYBhxxg1daYHHI8c,211578
Let It Be - Remastered 2009,The Beatles,0.443,0.403,-8.339,0.0322,0.631,0.0,0.111,0.41,143.462,7iN1s7xHE4ifF5povM6A48,243027
